Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,53.4,0.030,37276,0,10.65,37.4
1000,50.6,0.030,15467,0,10.68,37.5
1500,54.0,0.030,16216,0,10.72,37.5
2000,48.0,0.030,-67471,0,10.74,37.5
2500,47.8,0.030,-173808,0,10.78,37.6
3000,47.8,0.030,-217033,0,10.80,37.6
3500,51.0,0.030,-241691,0,10.83,37.6
4000,44.2,0.030,-417168,0,10.86,37.7
4500,44.6,0.030,-583514,0,10.90,37.7
5000,49.4,0.030,-655486,0,10.93,37.8
5500,44.2,0.030,-826016,0,10.96,37.8
6000,52.6,0.030,-835593,0,10.99,37.8
6500,47.2,0.030,-954159,0,11.02,37.9
7000,47.4,0.030,-1056515,0,11.05,37.9
7500,53.6,0.030,-1050666,0,11.09,37.9
8000,50.4,0.030,-1068538,0,11.11,38.0
8500,48.2,0.030,-1145575,0,11.14,38.0
9000,47.6,0.030,-1269547,0,11.17,38.0
9500,48.0,0.030,-1350845,0,11.20,38.1
10000,50.4,0.030,-1427691,0,11.23,38.1
