Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,61.4,0.245,177057,0,6.12,36.6
1000,60.8,0.237,353577,0,6.28,37.0
1500,62.4,0.230,555784,0,6.43,37.4
2000,62.0,0.222,741516,0,6.58,37.6
2500,61.0,0.215,909869,0,6.72,37.8
3000,64.8,0.207,1159895,0,6.87,38.1
3500,63.6,0.200,1380374,0,7.01,38.4
4000,57.2,0.192,1483308,0,7.15,38.8
4500,58.2,0.185,1606536,0,7.29,39.0
5000,58.8,0.177,1743135,0,7.43,39.1
5500,63.0,0.170,1956641,0,7.57,39.4
6000,68.0,0.162,2266471,0,7.70,39.6
6500,62.6,0.155,2477623,0,7.84,39.8
7000,61.6,0.147,2666243,0,7.96,40.0
7500,60.6,0.140,2843870,0,8.09,40.1
8000,63.8,0.132,3075466,0,8.22,40.3
8500,63.0,0.125,3297145,0,8.35,40.4
9000,60.0,0.117,3457135,0,8.48,40.7
9500,60.8,0.110,3643297,0,8.61,40.8
10000,60.0,0.102,3794832,0,8.76,41.0
