Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,46.0,0.337,-104323,0,9.26,34.1
1000,40.4,0.334,-336560,0,9.23,34.0
1500,40.6,0.331,-534406,0,9.19,34.0
2000,46.0,0.328,-644506,0,9.14,33.9
2500,51.0,0.325,-668792,0,9.11,33.9
3000,44.2,0.322,-792017,0,9.07,33.9
3500,52.2,0.319,-812359,0,9.06,33.9
4000,44.4,0.316,-953089,0,9.04,33.8
4500,42.8,0.313,-1124285,0,9.02,33.8
5000,44.4,0.310,-1250249,0,8.99,33.8
5500,44.8,0.307,-1389009,0,8.97,33.8
6000,47.0,0.304,-1495641,0,8.96,33.8
6500,45.0,0.301,-1635302,0,8.94,33.8
7000,41.4,0.298,-1805960,0,8.92,33.8
7500,46.6,0.295,-1910198,0,8.90,33.7
8000,42.6,0.292,-2107098,0,8.90,33.7
8500,52.0,0.289,-2123257,0,8.88,33.7
9000,46.2,0.286,-2237801,0,8.88,33.7
9500,46.4,0.283,-2352725,0,8.87,33.7
10000,47.0,0.280,-2435194,0,8.86,33.8
