Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,57.4,0.095,116722,0,8.88,41.2
1000,64.8,0.087,382116,0,9.01,41.4
1500,65.0,0.080,640567,0,9.13,41.5
2000,57.4,0.072,763197,0,9.26,41.6
2500,62.4,0.065,979848,0,9.39,41.8
3000,63.2,0.057,1210746,0,9.51,41.9
3500,67.0,0.050,1515235,0,9.63,42.1
4000,63.8,0.050,1753460,0,9.77,42.2
4500,67.0,0.050,2056800,0,9.90,42.4
5000,69.0,0.050,2388807,0,10.02,42.5
5500,64.2,0.050,2644991,0,10.14,42.6
6000,68.6,0.050,2976260,0,10.27,42.8
6500,64.6,0.050,3230559,0,10.39,42.9
7000,67.2,0.050,3534560,0,10.51,43.1
7500,65.2,0.050,3799718,0,10.64,43.1
8000,66.0,0.050,4083633,0,10.76,43.2
8500,64.8,0.050,4344691,0,10.89,43.3
9000,60.8,0.050,4535016,0,11.00,43.5
9500,67.8,0.050,4843589,0,11.13,43.6
10000,66.0,0.050,5123453,0,11.26,43.7
