Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,45.6,0.097,-151411,0,9.63,35.9
1000,51.2,0.094,-159243,0,9.65,36.0
1500,45.8,0.091,-252370,0,9.67,36.0
2000,47.8,0.088,-328363,0,9.69,36.1
2500,46.2,0.085,-437656,0,9.72,36.1
3000,50.2,0.082,-458291,0,9.74,36.2
3500,46.4,0.079,-538150,0,9.76,36.2
4000,46.6,0.076,-642370,0,9.78,36.2
4500,42.6,0.073,-788922,0,9.80,36.3
5000,50.8,0.070,-795255,0,9.82,36.3
5500,46.4,0.067,-912741,0,9.84,36.3
6000,46.4,0.064,-1020005,0,9.86,36.3
6500,45.4,0.061,-1169376,0,9.89,36.4
7000,47.4,0.058,-1294246,0,9.92,36.4
7500,46.2,0.055,-1403121,0,9.94,36.4
8000,48.8,0.052,-1474794,0,9.98,36.5
8500,47.8,0.049,-1541517,0,10.00,36.5
9000,47.2,0.046,-1590512,0,10.02,36.6
9500,49.4,0.043,-1641754,0,10.05,36.6
10000,45.8,0.040,-1729537,0,10.07,36.6
