Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,46.0,0.037,-87697,0,10.10,36.7
1000,49.6,0.034,-157354,0,10.12,36.7
1500,49.4,0.031,-183918,0,10.15,36.7
2000,50.2,0.030,-217019,0,10.18,36.8
2500,49.0,0.030,-275945,0,10.20,36.8
3000,50.8,0.030,-295405,0,10.23,36.8
3500,52.4,0.030,-311696,0,10.26,36.9
4000,49.4,0.030,-369595,0,10.29,36.9
4500,43.8,0.030,-490618,0,10.31,37.0
5000,51.4,0.030,-478397,0,10.34,37.0
5500,49.4,0.030,-572169,0,10.37,37.0
6000,48.2,0.030,-638873,0,10.40,37.1
6500,49.6,0.030,-665183,0,10.43,37.1
7000,45.4,0.030,-765882,0,10.45,37.1
7500,49.2,0.030,-849917,0,10.48,37.2
8000,48.0,0.030,-909016,0,10.51,37.2
8500,46.4,0.030,-1012415,0,10.54,37.3
9000,44.0,0.030,-1130785,0,10.56,37.3
9500,50.0,0.030,-1157824,0,10.59,37.3
10000,50.4,0.030,-1195152,0,10.62,37.4
