Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,48.0,0.030,-94580,0,11.84,38.7
1000,52.0,0.030,-74421,0,11.86,38.8
1500,50.0,0.030,-77641,0,11.89,38.8
2000,50.2,0.030,-141908,0,11.92,38.8
2500,51.8,0.030,-121682,0,11.94,38.9
3000,48.8,0.030,-178538,0,11.97,38.9
3500,46.6,0.030,-275124,0,12.00,38.9
4000,48.8,0.030,-304122,0,12.03,38.9
4500,48.2,0.030,-359343,0,12.05,39.0
5000,48.4,0.030,-423498,0,12.08,39.0
5500,52.6,0.030,-467425,0,12.12,39.0
6000,53.4,0.030,-436465,0,12.15,39.0
6500,52.6,0.030,-432444,0,12.18,39.1
7000,49.4,0.030,-486451,0,12.21,39.1
7500,52.0,0.030,-459695,0,12.24,39.1
8000,49.0,0.030,-528558,0,12.27,39.1
8500,51.4,0.030,-537832,0,12.30,39.2
9000,50.4,0.030,-573019,0,12.33,39.2
9500,49.4,0.030,-618917,0,12.35,39.2
10000,52.2,0.030,-638294,0,12.39,39.2
