Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,49.2,0.030,-35084,0,12.99,39.8
1000,48.0,0.030,-143837,0,13.03,39.8
1500,52.2,0.030,-168743,0,13.06,39.8
2000,50.4,0.030,-177891,0,13.08,39.8
2500,45.4,0.030,-318294,0,13.12,39.9
3000,51.2,0.030,-340148,0,13.15,39.9
3500,49.0,0.030,-408260,0,13.18,39.9
4000,52.8,0.030,-469622,0,13.22,39.9
4500,48.0,0.030,-548116,0,13.24,40.0
5000,47.6,0.030,-644172,0,13.27,40.0
5500,53.2,0.030,-608890,0,13.30,40.0
6000,51.0,0.030,-622795,0,13.33,40.0
6500,49.8,0.030,-658932,0,13.36,40.0
7000,47.6,0.030,-712164,0,13.38,40.1
7500,49.8,0.030,-727906,0,13.41,40.1
8000,51.0,0.030,-763663,0,13.44,40.1
8500,49.6,0.030,-813344,0,13.46,40.1
9000,48.4,0.030,-914853,0,13.49,40.2
9500,52.0,0.030,-942730,0,13.53,40.2
10000,48.8,0.030,-1040545,0,13.56,40.2
