Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,77.6,0.395,530386,0,1.85,16.0
1000,70.0,0.387,911560,0,2.25,19.8
1500,63.6,0.380,1164473,0,2.60,22.9
2000,62.8,0.372,1408022,0,2.86,24.5
2500,61.4,0.365,1610837,0,3.14,26.5
3000,62.0,0.357,1818890,0,3.39,27.8
3500,61.8,0.350,2022735,0,3.61,29.0
4000,63.0,0.342,2239257,0,3.84,29.9
4500,60.6,0.335,2414096,0,4.06,30.8
5000,62.4,0.327,2623104,0,4.25,31.5
5500,59.0,0.320,2761237,0,4.43,31.9
6000,56.8,0.312,2868176,0,4.61,32.4
6500,60.6,0.305,3042648,0,4.77,32.9
7000,62.4,0.297,3241471,0,4.96,33.5
7500,59.0,0.290,3389840,0,5.13,34.0
8000,58.6,0.282,3527536,0,5.30,34.5
8500,62.4,0.275,3742580,0,5.46,34.9
9000,60.0,0.267,3914888,0,5.64,35.5
9500,66.4,0.260,4191368,0,5.80,35.8
10000,57.2,0.252,4291259,0,5.96,36.2
