Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles,Visitas_Est,Confianca
500,46.0,0.030,-134345,0,11.26,38.1
1000,47.2,0.030,-220228,0,11.29,38.2
1500,51.8,0.030,-201757,0,11.32,38.2
2000,51.2,0.030,-231519,0,11.35,38.2
2500,48.2,0.030,-289034,0,11.38,38.3
3000,50.6,0.030,-315890,0,11.41,38.3
3500,47.2,0.030,-401006,0,11.44,38.3
4000,48.0,0.030,-529274,0,11.47,38.4
4500,45.8,0.030,-684224,0,11.51,38.4
5000,45.4,0.030,-778236,0,11.53,38.4
5500,50.0,0.030,-860959,0,11.57,38.4
6000,51.8,0.030,-848802,0,11.59,38.5
6500,49.6,0.030,-896627,0,11.62,38.5
7000,53.0,0.030,-848045,0,11.64,38.5
7500,46.0,0.030,-946884,0,11.67,38.5
8000,47.6,0.030,-1064559,0,11.70,38.6
8500,50.0,0.030,-1070950,0,11.72,38.6
9000,47.8,0.030,-1124764,0,11.75,38.6
9500,50.0,0.030,-1133065,0,11.78,38.7
10000,51.8,0.030,-1129406,0,11.80,38.7
