Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,72.50,725,275,306947,0.0500,16.74,47.79,265,0,0.17,3.56,34.1,0,116813,75
2000,73.20,732,268,307752,0.0500,16.83,47.82,282,0,0.17,3.58,36.4,1,117130,152
3000,71.00,710,290,308668,0.0500,16.93,47.86,205,0,0.21,3.53,41.3,2,117490,242
4000,71.40,714,286,309492,0.0500,17.01,47.89,225,0,0.17,3.53,35.9,2,117813,321
5000,75.30,753,247,310306,0.0500,17.10,47.93,338,0,0.17,3.61,36.2,0,118133,397
6000,75.30,753,247,311128,0.0500,17.19,47.95,354,0,0.17,3.65,37.2,3,118456,481
7000,71.80,718,282,311808,0.0500,17.28,48.02,228,0,0.16,3.52,36.5,0,118723,560
8000,74.70,747,253,312563,0.0500,17.37,48.05,324,0,0.17,3.59,36.3,2,119019,640
9000,76.00,760,240,313340,0.0500,17.46,48.10,358,0,0.17,3.60,36.7,2,119325,721
10000,74.20,742,258,314025,0.0500,17.56,48.14,303,0,0.16,3.59,38.9,4,119594,831
