Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,36.00,360,640,21890,0.3993,1.37,-1.000000,-1.000,-1.0000,3.1,12,-612,0,0.78,2.46,29.6,0,7710,79
2000,33.70,337,663,40330,0.3986,2.74,0.628815,33.861,0.0582,5.6,49,-676,0,0.75,2.45,29.3,0,14202,155
3000,34.50,345,655,57582,0.3979,4.35,0.568416,26.254,0.0200,7.4,118,-656,0,0.75,2.41,30.3,0,20282,233
4000,33.00,330,670,73716,0.3972,5.54,0.542246,41.922,0.0154,6.7,193,-686,0,0.78,2.45,29.7,0,25972,311
5000,34.40,344,656,89247,0.3965,6.82,0.501826,26.776,0.0213,7.3,281,-657,0,0.77,2.37,30.9,0,31440,391
6000,35.80,358,642,103629,0.3959,8.04,0.476778,31.408,0.0190,8.1,390,-615,0,0.74,2.46,30.1,0,36501,469
7000,35.30,353,647,117329,0.3952,9.02,0.469307,25.921,0.0164,8.0,502,-642,0,0.80,2.50,29.2,0,41320,546
8000,35.60,356,644,130939,0.3945,10.02,0.443380,23.599,0.0134,8.1,624,-636,0,0.75,2.48,30.7,0,46110,627
9000,35.80,358,642,144049,0.3938,10.79,0.430825,23.201,0.0161,8.9,730,-620,0,0.74,2.49,30.4,0,50722,707
10000,34.30,343,657,156519,0.3931,11.66,0.408544,18.587,0.0163,9.8,861,-657,0,0.75,2.41,30.5,0,55111,788
