Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,53.20,532,468,1173058,0.2475,56.73,0.086394,1.228,0.0141,99.7,50261,-119,0,0.76,2.86,30.4,0,459908,85
2000,53.10,531,469,1175644,0.2468,56.81,0.084701,0.604,0.0092,99.9,50492,-119,0,0.74,2.79,30.5,0,460940,173
3000,52.60,526,474,1178280,0.2461,56.90,0.086234,0.644,0.0104,100.2,50741,-129,0,0.75,2.81,30.5,0,461990,263
4000,54.70,547,453,1181007,0.2454,56.97,0.089837,0.606,0.0093,100.3,50965,-86,0,0.75,2.84,30.3,0,463080,354
5000,52.40,524,476,1183700,0.2447,57.05,0.089776,0.678,0.0098,100.3,51205,-142,0,0.76,2.78,30.0,0,464153,442
6000,55.30,553,447,1186497,0.2441,57.13,0.088311,0.813,0.0108,100.4,51414,-69,0,0.76,2.93,29.7,0,465272,531
7000,55.00,550,450,1189146,0.2434,57.21,0.083446,0.750,0.0093,100.5,51646,-77,0,0.74,2.83,31.7,0,466330,621
8000,53.90,539,461,1191801,0.2427,57.28,0.085433,0.703,0.0090,100.8,51837,-97,0,0.75,2.83,31.0,1,467389,712
9000,54.70,547,453,1194404,0.2420,57.36,0.084218,0.650,0.0098,100.6,52075,-76,0,0.75,2.83,30.9,0,468427,804
10000,52.60,526,474,1196982,0.2413,57.44,0.084661,0.792,0.0091,100.7,52296,-136,0,0.75,2.83,30.4,0,469456,894
