Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,60.80,608,392,1613032,0.0821,68.38,0.049243,0.917,0.0132,123.2,97072,86,0,0.75,2.90,31.5,0,635674,91
2000,61.10,611,389,1614517,0.0811,68.41,0.049699,0.298,0.0040,123.1,97245,99,0,0.76,2.96,29.8,0,636264,182
3000,60.90,609,391,1616023,0.0802,68.45,0.049322,0.315,0.0039,123.0,97454,91,0,0.75,2.93,30.5,0,636866,275
4000,61.50,615,385,1617566,0.0793,68.49,0.050114,0.362,0.0039,122.9,97674,100,0,0.76,2.93,30.8,0,637485,369
5000,59.60,596,404,1619191,0.0785,68.53,0.050538,0.218,0.0041,122.8,97872,51,0,0.75,2.85,32.1,0,638136,464
6000,56.70,567,433,1620607,0.0775,68.57,0.043817,0.237,0.0040,122.7,98084,-6,0,0.74,2.86,32.3,1,638702,563
7000,61.80,618,382,1622116,0.0766,68.60,0.049695,0.502,0.0038,122.7,98284,119,0,0.76,3.00,30.3,0,639305,655
8000,62.30,623,377,1623421,0.0755,68.64,0.042075,0.375,0.0039,122.6,98481,131,0,0.81,2.95,31.0,0,639829,748
9000,60.30,603,397,1624866,0.0746,68.68,0.047050,0.500,0.0039,122.5,98708,79,0,0.76,2.95,30.7,0,640406,844
10000,61.70,617,383,1626448,0.0737,68.72,0.049756,0.697,0.0037,122.5,98921,112,0,0.74,2.84,31.8,0,641037,941
