Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,60.20,602,398,1249488,0.2268,58.95,0.076028,1.062,0.0148,106.1,57123,56,0,0.75,2.85,31.0,0,490416,87
2000,56.50,565,435,1251860,0.2261,59.02,0.076941,0.670,0.0084,106.5,57348,-32,0,0.75,2.81,30.8,0,491361,176
3000,59.90,599,401,1254230,0.2254,59.08,0.076304,0.719,0.0085,106.7,57560,51,0,0.75,2.83,31.0,0,492306,266
4000,56.90,569,431,1256656,0.2247,59.14,0.077283,0.648,0.0086,106.8,57777,-21,0,0.74,2.86,31.3,0,493274,356
5000,57.20,572,428,1258963,0.2240,59.21,0.076836,0.453,0.0087,107.0,58010,-12,0,0.75,2.83,30.0,0,494197,443
6000,57.50,575,425,1261321,0.2234,59.29,0.074439,0.478,0.0082,107.2,58238,-5,0,0.75,2.86,31.6,0,495138,536
7000,57.90,579,421,1263737,0.2227,59.36,0.078480,0.674,0.0086,107.4,58475,-3,0,0.80,2.84,30.8,0,496102,631
8000,59.00,590,410,1266149,0.2220,59.42,0.077392,0.389,0.0082,107.3,58694,27,0,0.76,2.83,31.1,0,497064,724
9000,58.10,581,419,1268553,0.2213,59.48,0.078887,0.616,0.0084,107.4,58912,11,0,0.82,2.85,30.4,0,498022,814
10000,58.80,588,412,1270740,0.2206,59.56,0.070630,0.656,0.0082,107.4,59161,29,0,0.76,2.89,30.9,0,498896,908
