Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,40.50,405,595,270501,0.3855,19.11,0.324470,11.485,0.0157,18.2,2587,-482,0,0.76,2.48,29.5,0,100450,79
2000,43.50,435,565,279934,0.3848,19.62,0.313514,9.661,0.0157,19.2,2766,-411,0,0.75,2.52,30.1,0,104200,158
3000,41.10,411,589,289049,0.3841,20.13,0.308920,10.483,0.0158,20.3,2949,-466,0,0.76,2.48,29.4,0,107824,237
4000,38.50,385,615,297832,0.3834,20.71,0.296904,8.481,0.0167,20.5,3153,-542,0,0.78,2.44,29.6,0,111316,317
5000,40.20,402,598,306619,0.3827,21.21,0.295203,7.702,0.0138,21.2,3351,-499,0,0.80,2.46,29.7,0,114810,397
6000,40.70,407,593,315576,0.3821,21.64,0.295416,9.573,0.0159,21.7,3521,-478,0,0.76,2.48,30.3,0,118374,479
7000,42.10,421,579,324090,0.3814,22.23,0.274592,9.707,0.0155,22.2,3750,-441,0,0.75,2.47,31.0,0,121763,562
8000,39.50,395,605,332340,0.3807,22.70,0.287256,8.082,0.0168,23.3,3941,-513,0,0.76,2.49,28.7,0,125042,641
9000,40.80,408,592,340668,0.3800,23.17,0.280480,7.799,0.0139,23.7,4153,-482,0,0.76,2.43,29.7,0,128353,720
10000,41.70,417,583,348718,0.3793,23.59,0.274716,7.565,0.0141,24.3,4344,-457,0,0.76,2.48,29.3,0,131553,800
