Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,52.20,522,478,1118420,0.2613,55.02,0.091566,1.487,0.0191,96.1,45616,-146,0,0.76,2.80,30.1,0,438117,84
2000,52.10,521,479,1121120,0.2606,55.12,0.087235,0.701,0.0097,96.1,45848,-142,0,0.75,2.78,30.9,0,439194,173
3000,51.90,519,481,1123861,0.2599,55.21,0.088907,0.716,0.0145,95.5,46108,-145,0,0.74,2.85,30.8,0,440283,261
4000,51.80,518,482,1126789,0.2592,55.29,0.095223,0.727,0.0112,95.4,46318,-163,0,0.74,2.78,30.7,0,441453,350
5000,52.20,522,478,1129558,0.2585,55.38,0.089751,0.855,0.0111,95.3,46564,-151,0,0.79,2.83,30.8,0,442557,439
6000,52.90,529,471,1132308,0.2579,55.47,0.086396,0.697,0.0099,95.8,46802,-131,0,0.74,2.83,31.7,0,443654,529
7000,53.00,530,470,1135084,0.2572,55.57,0.089260,0.784,0.0101,96.0,47049,-124,0,0.75,2.79,31.1,0,444759,620
8000,53.00,530,470,1137850,0.2565,55.65,0.088535,0.715,0.0092,96.1,47263,-131,0,0.75,2.80,31.2,0,445864,711
9000,51.90,519,481,1140746,0.2558,55.74,0.090929,0.785,0.0097,96.2,47504,-155,0,0.75,2.82,31.8,0,447017,804
10000,52.70,527,473,1143559,0.2551,55.83,0.090856,0.810,0.0096,96.3,47756,-134,0,0.75,2.79,30.9,0,448140,895
