Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,46.40,464,536,721364,0.3372,40.85,0.161984,2.987,0.0153,52.6,18741,-321,0,0.75,2.69,30.4,0,279843,83
2000,47.40,474,526,726242,0.3365,41.02,0.163155,2.294,0.0132,53.3,18977,-292,0,0.75,2.66,29.9,0,281785,165
3000,43.40,434,566,730953,0.3358,41.20,0.156569,1.933,0.0125,53.5,19210,-397,0,0.76,2.62,30.1,0,283665,249
4000,44.90,449,551,735843,0.3351,41.37,0.157992,2.334,0.0133,53.7,19459,-360,0,0.79,2.70,30.9,0,285614,334
5000,46.60,466,534,740598,0.3344,41.55,0.157581,2.113,0.0164,54.7,19700,-311,0,0.78,2.69,30.1,0,287507,417
6000,45.90,459,541,745242,0.3338,41.74,0.153262,2.351,0.0131,55.2,19956,-333,0,0.75,2.69,30.3,0,289355,501
7000,44.00,440,560,749806,0.3331,41.93,0.149414,2.171,0.0136,55.6,20208,-378,0,0.80,2.66,30.5,0,291172,584
8000,44.90,449,551,754595,0.3324,42.08,0.159092,2.081,0.0128,55.8,20437,-356,0,0.80,2.63,30.1,0,293080,669
9000,44.60,446,554,759230,0.3317,42.24,0.154567,1.838,0.0122,56.1,20661,-356,0,0.76,2.68,29.9,0,294927,755
10000,48.20,482,518,763792,0.3310,42.42,0.150770,2.228,0.0129,56.6,20912,-270,0,0.76,2.69,30.2,0,296741,840
