Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,58.30,583,417,1581552,0.0996,67.63,0.049522,0.976,0.0129,122.9,93042,22,0,0.75,2.90,30.8,0,623081,90
2000,56.90,569,431,1582967,0.0987,67.67,0.046231,0.183,0.0045,122.9,93251,-8,0,0.76,2.89,30.6,0,623646,184
3000,56.20,562,438,1584635,0.0978,67.71,0.054732,0.448,0.0043,122.7,93461,-30,0,0.76,2.88,30.4,0,624312,276
4000,60.10,601,399,1586125,0.0969,67.75,0.048575,0.363,0.0042,122.6,93654,68,0,0.74,2.88,30.6,0,624909,369
5000,57.60,576,424,1587709,0.0960,67.79,0.050398,0.425,0.0042,122.5,93860,0,0,0.75,2.93,31.4,0,625545,464
6000,57.40,574,426,1589294,0.0952,67.83,0.049225,0.479,0.0048,122.4,94052,6,0,0.74,2.98,32.2,0,626179,559
7000,56.80,568,432,1590837,0.0943,67.87,0.049474,0.535,0.0044,122.3,94284,-14,0,0.74,2.91,31.1,0,626795,652
8000,60.20,602,398,1592435,0.0934,67.91,0.050716,0.513,0.0042,122.2,94483,66,0,0.75,2.94,31.5,0,627433,749
9000,58.50,585,415,1594031,0.0926,67.94,0.051252,0.333,0.0040,122.2,94678,17,0,0.75,2.78,31.1,0,628069,843
10000,57.40,574,426,1595568,0.0917,67.98,0.049597,0.597,0.0045,122.2,94907,-5,0,0.75,2.89,30.9,0,628684,936
