Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,56.20,562,438,1089537,0.2682,54.09,0.094493,1.028,0.0150,93.2,43157,-42,0,0.76,2.76,30.5,0,426587,85
2000,53.00,530,470,1092567,0.2675,54.18,0.099951,0.822,0.0102,93.3,43401,-122,0,0.75,2.76,30.3,0,427796,172
3000,54.70,547,453,1095416,0.2668,54.28,0.092962,0.677,0.0104,93.3,43650,-88,0,0.74,2.83,30.6,0,428933,258
4000,54.70,547,453,1098308,0.2661,54.38,0.095295,0.638,0.0111,93.4,43917,-75,0,0.76,2.82,30.3,0,430087,347
5000,57.90,579,421,1101469,0.2654,54.47,0.103980,0.617,0.0095,94.3,44163,-1,0,0.76,2.81,30.4,0,431345,435
6000,55.70,557,443,1104443,0.2648,54.55,0.097909,0.974,0.0098,94.6,44383,-53,0,0.79,2.81,30.3,0,432533,525
7000,55.50,555,445,1107252,0.2641,54.65,0.091258,1.099,0.0113,94.5,44633,-66,0,0.75,2.75,30.7,0,433653,613
8000,56.70,567,433,1109951,0.2634,54.75,0.089695,0.711,0.0104,94.8,44868,-36,0,0.75,2.76,30.0,0,434732,700
9000,56.70,567,433,1112766,0.2627,54.84,0.093009,0.730,0.0100,95.2,45113,-26,0,0.75,2.84,30.2,0,435854,789
10000,53.20,532,468,1115656,0.2620,54.93,0.093259,0.611,0.0099,95.0,45363,-117,0,0.75,2.80,31.0,0,437012,880
