Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,45.40,454,546,561472,0.3579,34.27,0.193240,3.731,0.0143,37.8,11432,-346,0,0.78,2.55,30.1,0,216187,81
2000,43.90,439,561,567371,0.3572,34.51,0.199250,3.743,0.0136,38.6,11669,-390,0,0.78,2.60,29.6,0,218535,163
3000,42.60,426,574,573008,0.3565,34.77,0.189282,4.320,0.0133,39.1,11905,-418,0,0.77,2.59,29.7,0,220779,245
4000,44.70,447,553,578828,0.3558,35.00,0.191744,3.704,0.0138,39.7,12127,-362,0,0.76,2.58,30.3,0,223095,329
5000,43.00,430,570,584671,0.3551,35.24,0.194514,3.337,0.0139,40.2,12360,-410,0,0.76,2.59,30.0,0,225417,413
6000,44.80,448,552,590327,0.3545,35.47,0.186852,3.555,0.0138,40.9,12581,-374,0,0.76,2.56,30.2,0,227668,496
7000,47.30,473,527,595879,0.3538,35.73,0.183586,3.205,0.0148,41.9,12831,-296,0,1.11,2.58,30.2,0,229881,617
8000,44.80,448,552,601433,0.3531,36.00,0.182980,2.921,0.0156,42.4,13097,-364,0,0.99,2.62,30.3,0,232094,728
9000,44.40,444,556,607118,0.3524,36.22,0.184046,3.398,0.0131,42.8,13328,-379,0,0.77,2.64,30.9,0,234358,814
10000,43.90,439,561,612510,0.3517,36.47,0.177731,2.915,0.0134,43.1,13576,-380,0,0.77,2.62,30.3,0,236502,898
