Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,54.10,541,459,1341419,0.1992,61.47,0.073888,0.878,0.0138,113.4,65972,-97,0,0.74,2.88,30.4,0,527120,84
2000,54.00,540,460,1343588,0.1985,61.53,0.070208,0.378,0.0078,113.4,66197,-94,0,0.74,2.92,30.9,0,527985,174
3000,55.40,554,446,1345767,0.1978,61.58,0.072356,0.594,0.0080,113.5,66392,-61,0,0.74,2.91,30.1,0,528854,261
4000,59.40,594,406,1347826,0.1971,61.64,0.067766,0.654,0.0078,113.9,66606,39,0,0.73,2.88,30.3,0,529676,350
5000,58.30,583,417,1350039,0.1964,61.69,0.073522,0.419,0.0077,114.1,66817,14,0,0.76,2.90,30.1,0,530561,438
6000,56.60,566,434,1352224,0.1958,61.75,0.069871,0.542,0.0074,114.2,67031,-29,0,0.75,2.88,31.2,0,531431,530
7000,51.70,517,483,1354553,0.1951,61.81,0.074578,0.476,0.0077,114.1,67237,-160,0,0.75,2.83,31.2,0,532361,622
8000,55.80,558,442,1356585,0.1944,61.87,0.066473,0.376,0.0078,114.2,67461,-44,0,0.75,2.87,30.5,0,533171,713
9000,56.00,560,440,1358645,0.1937,61.92,0.068207,0.647,0.0076,114.3,67658,-37,0,0.75,2.88,30.2,0,533996,801
10000,56.00,560,440,1360797,0.1930,61.99,0.067944,0.516,0.0072,114.5,67901,-41,0,0.75,2.90,31.6,0,534855,894
