Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Cobertura_Pond,Descoberta_Turno,Churn_Politica,Delta_Q,Margem_Decisao,Estados_Maduros,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,54.60,546,454,1384152,0.1854,62.58,0.063058,0.828,0.0141,116.9,70175,-85,0,0.75,2.86,31.4,0,544182,88
2000,55.50,555,445,1386247,0.1847,62.64,0.067049,0.572,0.0069,116.8,70414,-60,0,0.77,2.85,31.2,0,545019,180
3000,55.00,550,450,1388359,0.1840,62.69,0.068228,0.464,0.0069,116.8,70622,-72,0,0.79,2.88,30.9,0,545862,271
4000,56.90,569,431,1390328,0.1833,62.74,0.063416,0.693,0.0071,116.8,70838,-29,0,0.76,2.91,31.0,0,546651,363
5000,53.90,539,461,1392205,0.1826,62.80,0.060074,0.425,0.0070,116.9,71066,-100,0,0.79,2.80,31.2,0,547403,455
6000,53.30,533,467,1394392,0.1819,62.85,0.069409,0.436,0.0066,116.7,71290,-122,0,0.76,2.78,31.5,0,548274,550
7000,52.10,521,479,1396546,0.1812,62.90,0.069576,0.465,0.0072,116.5,71493,-141,0,0.76,2.84,30.9,0,549132,643
8000,54.20,542,458,1398671,0.1805,62.95,0.069544,0.671,0.0070,116.5,71717,-88,0,0.75,2.87,30.5,0,549980,735
9000,52.80,528,472,1400646,0.1798,63.00,0.062439,0.497,0.0066,116.4,71929,-126,0,0.74,2.79,31.6,0,550772,827
10000,53.10,531,469,1402623,0.1791,63.06,0.062966,0.452,0.0064,116.4,72143,-119,0,0.82,2.78,31.4,0,551563,922
