Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,52.8,0.399,61322,0,17.82,47.8,91913
1000,54.6,0.399,139354,0,17.24,46.4,95894
1500,50.4,0.398,144893,0,16.72,45.3,99785
2000,51.4,0.397,168575,0,16.27,44.3,103631
2500,52.4,0.396,218727,0,15.85,43.4,107394
3000,48.0,0.395,198174,0,15.49,42.6,111056
3500,52.4,0.395,248691,0,15.19,42.0,114300
4000,49.0,0.394,236433,0,14.91,41.4,117450
4500,50.4,0.393,242862,0,14.66,41.0,120567
5000,50.4,0.392,255354,0,14.43,40.6,123642
5500,55.0,0.391,358662,0,14.22,40.2,126631
6000,52.0,0.390,408181,0,14.04,39.9,129333
6500,53.8,0.388,479242,0,13.88,39.6,132010
7000,51.2,0.387,507554,0,13.75,39.4,134451
7500,50.6,0.386,527973,0,13.62,39.2,136920
8000,52.2,0.385,567981,0,13.46,39.0,139713
8500,48.6,0.384,544874,0,13.33,38.8,142277
9000,50.6,0.382,559190,0,13.24,38.7,144458
9500,54.0,0.381,637201,0,13.13,38.5,146904
10000,53.4,0.380,701332,0,13.03,38.3,149165
