Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,42.6,0.030,-119458,0,15.82,42.4,381033
1000,46.6,0.030,-173337,0,15.84,42.4,381587
1500,45.8,0.030,-229940,0,15.86,42.4,382032
2000,41.6,0.030,-373079,0,15.89,42.4,382590
2500,50.0,0.030,-359488,0,15.91,42.5,383105
3000,45.4,0.030,-418794,0,15.94,42.5,383589
3500,46.0,0.030,-484608,0,15.96,42.5,384142
4000,47.8,0.030,-514372,0,15.98,42.5,384651
4500,46.6,0.130,-554643,0,16.00,42.5,385145
5000,42.6,0.124,-677414,0,16.04,42.6,385607
5500,47.6,0.119,-714968,0,16.05,42.6,386166
6000,48.2,0.113,-730524,0,16.08,42.6,386680
6500,47.0,0.107,-769895,0,16.10,42.6,387230
7000,47.0,0.102,-793087,0,16.11,42.6,387789
7500,47.8,0.096,-826161,0,16.14,42.7,388331
8000,47.8,0.091,-851922,0,16.16,42.7,388860
8500,46.8,0.085,-901392,0,16.18,42.7,389364
9000,46.6,0.079,-940702,0,16.20,42.7,389842
9500,46.0,0.073,-988769,0,16.22,42.7,390405
10000,46.6,0.067,-1027603,0,16.25,42.8,390873
