Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,51.2,0.084,51588,0,17.17,43.5,411423
1000,50.4,0.078,72632,0,17.19,43.5,411910
1500,44.2,0.072,-30148,0,17.21,43.5,412410
2000,49.0,0.067,-45499,0,17.23,43.5,412960
2500,50.6,0.061,-27586,0,17.25,43.6,413401
3000,46.2,0.055,-81400,0,17.27,43.6,413948
3500,50.0,0.050,-74594,0,17.28,43.6,414484
4000,47.6,0.044,-115355,0,17.30,43.6,414976
4500,47.0,0.038,-148416,0,17.33,43.6,415493
5000,44.0,0.032,-237764,0,17.35,43.6,415941
5500,48.6,0.030,-254365,0,17.37,43.6,416392
6000,50.6,0.030,-229939,0,17.39,43.7,416927
6500,49.4,0.030,-220287,0,17.41,43.7,417378
7000,50.4,0.030,-208352,0,17.44,43.7,417864
7500,49.8,0.130,-183821,0,17.46,43.7,418356
8000,48.8,0.124,-196450,0,17.48,43.7,418881
8500,47.8,0.119,-212680,0,17.50,43.7,419481
9000,51.8,0.114,-172543,0,17.52,43.8,420012
9500,44.8,0.108,-249365,0,17.54,43.8,420559
10000,52.6,0.102,-196496,0,17.57,43.8,421013
