Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,47.4,0.096,-28658,0,17.61,43.8,421973
1000,46.0,0.091,-80864,0,17.63,43.8,422545
1500,47.8,0.086,-101761,0,17.65,43.9,423143
2000,48.6,0.080,-121048,0,17.67,43.9,423631
2500,49.4,0.074,-122344,0,17.69,43.9,424127
3000,46.0,0.068,-175364,0,17.71,43.9,424656
3500,44.2,0.063,-256278,0,17.73,43.9,425207
4000,48.4,0.057,-269197,0,17.75,43.9,425724
4500,43.4,0.051,-378203,0,17.77,43.9,426209
5000,48.0,0.045,-394679,0,17.79,44.0,426682
5500,45.6,0.040,-464149,0,17.81,44.0,427299
6000,46.0,0.034,-528381,0,17.83,44.0,427736
6500,42.6,0.030,-649655,0,17.86,44.0,428176
7000,46.0,0.030,-719114,0,17.87,44.0,428675
