Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,53.6,0.379,70707,0,12.94,38.2,151497
1000,48.8,0.377,60758,0,12.86,38.0,153796
1500,53.4,0.376,123566,0,12.77,37.9,156130
2000,47.6,0.375,92168,0,12.72,37.8,158214
2500,49.0,0.373,82979,0,12.64,37.7,160503
3000,47.2,0.372,37317,0,12.56,37.6,162743
3500,47.0,0.370,-3697,0,12.51,37.6,164708
4000,44.8,0.369,-99244,0,12.45,37.5,166706
4500,45.8,0.367,-172449,0,12.38,37.4,168919
5000,49.8,0.366,-175557,0,12.33,37.4,170909
5500,50.6,0.364,-155084,0,12.29,37.3,172784
6000,50.2,0.363,-144941,0,12.26,37.3,174841
6500,50.4,0.361,-125341,0,12.21,37.3,176824
7000,53.2,0.360,-55241,0,12.19,37.2,178630
7500,50.6,0.358,-37373,0,12.15,37.2,180521
8000,51.4,0.356,18,0,12.11,37.2,182320
8500,48.6,0.355,-17551,0,12.09,37.2,184242
9000,49.8,0.353,-16240,0,12.06,37.2,185995
9500,52.6,0.352,49924,0,12.03,37.2,187912
10000,49.0,0.350,45829,0,11.99,37.1,190048
