Batalhas,WinRate_Bloco,Epsilon,Reward
500,39.6,0.29481307041041416,-629490.0
1000,41.4,0.21198556815678732,-1192555.0
1500,45.6,0.15771904289068192,-1611530.0
2000,38.800000000000004,0.11632548840449193,-2248800.0
2500,42.199999999999996,0.08522962510525668,-2767060.0
3000,38.800000000000004,0.06378934615632993,-3375295.0
3500,52.400000000000006,0.05,-3586420.0
4000,46.400000000000006,0.05,-3972355.0
4500,44.800000000000004,0.05,-4400380.0
5000,46.2,0.05,-4803655.0
5500,41.0,0.05,-5347750.0
6000,43.4,0.05,-5837525.0
6500,43.6,0.05,-6300350.0
7000,47.599999999999994,0.05,-6656485.0
7500,43.2,0.05,-7152240.0
8000,44.800000000000004,0.05,-7586115.0
8500,42.6,0.05,-8102200.0
9000,45.800000000000004,0.05,-8511565.0
9500,44.6,0.05,-8950635.0
10000,43.8,0.05,-9430870.0
