Batalhas,WinRate_Bloco,Epsilon,Reward
500,33.2,0.2950077132083774,-706490.0
1000,34.2,0.21654933800006396,-1389840.0
1500,37.0,0.15877614345321225,-1990860.0
2000,36.199999999999996,0.11786646462551184,-2595520.0
2500,34.0,0.08729466285573151,-3282200.0
3000,34.0,0.06418607265105226,-3958840.0
3500,39.0,0.05,-4481810.0
4000,36.199999999999996,0.05,-5087080.0
4500,35.0,0.05,-5727070.0
5000,38.0,0.05,-6282700.0
5500,37.8,0.05,-6846210.0
6000,39.0,0.05,-7366360.0
6500,35.8,0.05,-7990480.0
7000,34.8,0.05,-8639990.0
7500,41.199999999999996,0.05,-9088610.0
8000,37.2,0.05,-9666060.0
8500,39.4,0.05,-10170260.0
9000,37.8,0.05,-10710910.0
9500,38.4,0.05,-11230890.0
10000,38.6,0.05,-11764670.0
