Batalhas,WinRate_Bloco,Epsilon,Reward
500,41.8,0.2944948409868866,-545085.0
1000,42.8,0.21814467381429775,-1049325.0
1500,43.4,0.16093417692078416,-1525740.0
2000,43.8,0.11873717078037763,-1989400.0
2500,45.2,0.08694791711184714,-2415030.0
3000,44.800000000000004,0.06383146144246303,-2850460.0
3500,45.800000000000004,0.05,-3244430.0
4000,47.0,0.05,-3601425.0
4500,47.4,0.05,-3978675.0
5000,45.2,0.05,-4399435.0
5500,41.199999999999996,0.05,-4935870.0
6000,47.0,0.05,-5302060.0
6500,46.400000000000006,0.05,-5666630.0
7000,43.2,0.05,-6156320.0
7500,45.6,0.05,-6575530.0
8000,46.2,0.05,-6961800.0
8500,46.800000000000004,0.05,-7328230.0
9000,44.4,0.05,-7774420.0
9500,45.0,0.05,-8204770.0
10000,45.0,0.05,-8622440.0
