Batalhas,WinRate_Bloco,Epsilon,Reward
500,38.4,0.2985094589092147,-644620.0
1000,45.800000000000004,0.22137954601008766,-1067550.0
1500,47.0,0.1638605272817518,-1457135.0
2000,41.0,0.11995689905793265,-2018610.0
2500,46.2,0.0890848715546944,-2405700.0
3000,50.2,0.06485061234908965,-2672750.0
3500,47.199999999999996,0.05,-3049730.0
4000,46.6,0.05,-3419050.0
4500,48.6,0.05,-3741015.0
5000,44.4,0.05,-4191400.0
5500,45.2,0.05,-4620765.0
6000,51.800000000000004,0.05,-4839430.0
6500,45.0,0.05,-5258635.0
7000,48.0,0.05,-5583560.0
7500,47.8,0.05,-5905270.0
8000,48.4,0.05,-6212975.0
8500,49.0,0.05,-6510060.0
9000,46.800000000000004,0.05,-6884835.0
9500,48.4,0.05,-7213255.0
10000,50.2,0.05,-7483920.0
