Batalhas,WinRate_Bloco,Epsilon,Reward
500,39.0,0.29725833586807765,-631750.0
1000,39.6,0.22001562563145477,-1241070.0
1500,40.8,0.16090842925486748,-1801970.0
2000,44.4,0.11765214061066057,-2258700.0
2500,45.4,0.08682453745603523,-2668655.0
3000,42.6,0.06440854333948395,-3165740.0
3500,42.4,0.05,-3662140.0
4000,48.0,0.05,-3996830.0
4500,45.6,0.05,-4398255.0
5000,47.4,0.05,-4742675.0
5500,46.6,0.05,-5115945.0
6000,48.199999999999996,0.05,-5442090.0
6500,46.400000000000006,0.05,-5823335.0
7000,47.199999999999996,0.05,-6190910.0
7500,48.8,0.05,-6491095.0
8000,45.4,0.05,-6892425.0
8500,44.2,0.05,-7348825.0
9000,47.599999999999994,0.05,-7696235.0
9500,43.6,0.05,-8162790.0
10000,44.0,0.05,-8639570.0
