Batalhas,WinRate_Bloco,Epsilon,Reward
500,41.8,0.29370076945445117,-554945.0
1000,43.4,0.21646706406192004,-1044480.0
1500,45.6,0.1599650544969339,-1447930.0
2000,40.6,0.11683144321149275,-1996020.0
2500,45.0,0.08608448396270763,-2421030.0
3000,43.6,0.06299441444511494,-2882900.0
3500,46.400000000000006,0.05,-3261025.0
4000,46.6,0.05,-3656035.0
4500,48.0,0.05,-3976180.0
5000,45.800000000000004,0.05,-4398860.0
5500,47.199999999999996,0.05,-4741725.0
6000,45.0,0.05,-5154875.0
6500,49.4,0.05,-5439370.0
7000,44.800000000000004,0.05,-5858875.0
7500,46.2,0.05,-6229640.0
8000,47.599999999999994,0.05,-6600425.0
8500,48.0,0.05,-6929120.0
9000,53.6,0.05,-7080120.0
9500,45.800000000000004,0.05,-7478990.0
10000,49.2,0.05,-7783045.0
