Batalhas,WinRate_Bloco,Epsilon,Reward
500,36.0,0.29326640947771293,-722990.0
1000,43.8,0.21645840546594436,-1205740.0
1500,45.6,0.1613951120992587,-1628760.0
2000,40.0,0.1179820315350543,-2212140.0
2500,42.8,0.08678634268107223,-2716305.0
3000,46.2,0.06355121719913118,-3111350.0
3500,49.8,0.05,-3369815.0
4000,46.800000000000004,0.05,-3741135.0
4500,39.4,0.05,-4328975.0
5000,45.2,0.05,-4743880.0
5500,48.6,0.05,-5060075.0
6000,44.4,0.05,-5505890.0
6500,47.8,0.05,-5841490.0
7000,45.4,0.05,-6230365.0
7500,48.6,0.05,-6549050.0
8000,43.0,0.05,-7042570.0
8500,46.6,0.05,-7413615.0
9000,46.6,0.05,-7768690.0
9500,46.0,0.05,-8158030.0
10000,46.2,0.05,-8545150.0
