Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,71.00,710,290,436853,0.0500,14.17,47.68,191,0,0.20,3.47,41.6,3,166669,118
2000,69.80,698,302,437697,0.0500,14.23,47.73,176,0,0.19,3.52,35.8,0,167000,221
3000,73.20,732,268,438573,0.0500,14.30,47.78,275,0,0.21,3.59,38.8,1,167344,338
4000,69.90,699,301,439495,0.0500,14.38,47.83,173,1,0.22,3.51,40.7,4,167706,475
5000,70.50,705,295,440294,0.0500,14.44,47.87,182,0,0.21,3.53,36.1,1,168019,599
6000,73.10,731,269,441201,0.0500,14.51,47.90,252,0,0.19,3.45,39.1,3,168375,732
7000,73.70,737,263,442040,0.0500,14.58,47.94,280,0,0.20,3.56,37.8,1,168705,857
8000,73.10,731,269,442927,0.0500,14.65,47.98,252,0,0.20,3.50,39.3,1,169053,1002
9000,71.40,714,286,443892,0.0500,14.71,48.02,194,0,0.19,3.45,36.6,1,169432,1149
10000,71.50,715,285,444758,0.0500,14.78,48.06,226,0,0.19,3.57,38.4,1,169772,1335
