Batalhas,WinRate_Bloco,Epsilon,Reward
500,50.8,0.01,-10890.0
1000,54.0,0.01,82390.0
1500,48.199999999999996,0.01,-31420.0
2000,50.0,0.01,-77880.0
2500,46.6,0.01,-244240.0
3000,49.8,0.01,-293200.0
3500,49.0,0.01,-359320.0
4000,47.599999999999994,0.01,-469060.0
4500,48.4,0.01,-574560.0
5000,49.2,0.01,-644660.0
5500,46.400000000000006,0.01,-798440.0
6000,49.8,0.01,-830500.0
6500,48.6,0.01,-925080.0
7000,43.6,0.01,-1192970.0
7500,46.800000000000004,0.01,-1334000.0
8000,47.599999999999994,0.01,-1451550.0
8500,47.0,0.01,-1593020.0
9000,50.0,0.01,-1634890.0
9500,49.0,0.01,-1708260.0
10000,48.6,0.01,-1796680.0
10500,47.0,0.01,-1939500.0
11000,48.0,0.01,-2049540.0
11500,45.2,0.01,-2264520.0
12000,51.2,0.01,-2251180.0
12500,46.2,0.01,-2420230.0
13000,51.0,0.01,-2425930.0
13500,43.8,0.01,-2670310.0
14000,48.6,0.01,-2756970.0
14500,48.8,0.01,-2819700.0
15000,43.2,0.01,-3096950.0
15500,52.2,0.01,-3064280.0
16000,50.0,0.01,-3105650.0
16500,48.0,0.01,-3212850.0
17000,52.800000000000004,0.01,-3153770.0
17500,50.0,0.01,-3196930.0
18000,48.199999999999996,0.01,-3298630.0
18500,51.0,0.01,-3309600.0
19000,47.8,0.01,-3425600.0
19500,49.0,0.01,-3502210.0
20000,43.4,0.01,-3765400.0
