Batalhas,WinRate_Bloco,Epsilon,Reward
500,52.400000000000006,0.01,53420.0
1000,49.2,0.01,4060.0
1500,44.0,0.01,-230860.0
2000,47.599999999999994,0.01,-357270.0
2500,48.199999999999996,0.01,-449430.0
3000,52.0,0.01,-425810.0
3500,50.4,0.01,-457020.0
4000,46.0,0.01,-637350.0
4500,50.6,0.01,-654910.0
5000,46.6,0.01,-801910.0
5500,46.0,0.01,-978130.0
6000,49.2,0.01,-1050590.0
6500,49.8,0.01,-1104110.0
7000,50.6,0.01,-1132230.0
7500,48.0,0.01,-1247030.0
8000,50.8,0.01,-1264700.0
8500,50.2,0.01,-1297150.0
9000,48.4,0.01,-1398820.0
9500,50.8,0.01,-1421200.0
10000,45.4,0.01,-1609980.0
10500,51.2,0.01,-1606300.0
11000,49.4,0.01,-1658950.0
11500,50.8,0.01,-1679040.0
12000,47.0,0.01,-1827220.0
12500,46.6,0.01,-1971660.0
13000,47.0,0.01,-2108230.0
13500,48.4,0.01,-2202260.0
14000,46.800000000000004,0.01,-2333310.0
14500,49.8,0.01,-2376560.0
15000,46.800000000000004,0.01,-2517120.0
15500,48.199999999999996,0.01,-2601140.0
16000,49.4,0.01,-2659670.0
16500,49.0,0.01,-2735090.0
17000,45.2,0.01,-2936750.0
17500,51.0,0.01,-2950160.0
18000,53.400000000000006,0.01,-2877050.0
18500,44.0,0.01,-3116320.0
19000,50.8,0.01,-3136410.0
19500,46.0,0.01,-3300820.0
20000,46.6,0.01,-3453040.0
