Batalhas,WinRate_Bloco,Vitorias,Derrotas,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles,Latencia_ms,Margem_Media,Duracao_Media,Auto_Ties,Tamanho_KB,Tempo_s
1000,76.60,766,234,306609,0.0995,14.05,46.05,349,0,0.19,3.60,47.3,2,116502,98
2000,74.30,743,257,307779,0.0944,14.15,46.12,291,0,0.16,3.61,42.8,0,116961,185
3000,78.50,785,215,308916,0.0891,14.25,46.17,412,0,0.16,3.67,43.9,1,117407,275
4000,79.10,791,209,310049,0.0838,14.37,46.24,424,0,0.16,3.65,48.3,2,117852,377
5000,75.20,752,248,311112,0.0782,14.50,46.30,336,0,0.16,3.73,50.9,5,118270,481
6000,78.30,783,217,312216,0.0727,14.61,46.37,390,0,0.16,3.60,44.3,0,118703,572
7000,77.00,770,230,313242,0.0669,14.73,46.43,394,0,0.16,3.69,48.8,5,119105,672
8000,74.60,746,254,314359,0.0615,14.85,46.50,299,0,0.16,3.63,48.0,5,119544,811
9000,77.30,773,227,315321,0.0555,14.97,46.58,389,1,0.16,3.67,48.6,3,119921,963
10000,76.40,764,236,316355,0.0500,15.10,46.64,362,0,0.16,3.65,49.3,3,120327,1146
