Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,65.8,0.393,226916,0
1000,56.0,0.385,325754,0
1500,58.2,0.378,446815,0
2000,51.0,0.370,479250,0
2500,56.4,0.362,575136,0
3000,51.8,0.355,611765,0
3500,53.0,0.347,667388,0
4000,56.0,0.340,762430,0
4500,50.6,0.332,784239,0
5000,51.0,0.325,820190,0
5500,49.4,0.317,830393,0
6000,51.8,0.310,868162,0
6500,54.4,0.302,938004,0
7000,51.6,0.295,969542,0
7500,50.6,0.287,992772,0
8000,54.2,0.280,1067062,0
8500,55.0,0.272,1157355,0
9000,52.6,0.265,1211167,0
9500,55.6,0.257,1307365,0
10000,51.6,0.250,1346520,0
