Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,49.0,0.142,13636,0
1000,48.8,0.135,20852,0
1500,45.6,0.127,-7368,0
2000,46.0,0.120,-30680,0
2500,50.8,0.112,10792,0
