Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,56.2,0.050,109944,0
1000,58.8,0.050,253935,0
1500,59.4,0.050,402311,0
2000,57.0,0.050,526507,0
2500,60.0,0.050,685641,0
3000,57.8,0.050,814009,0
3500,56.6,0.050,931110,0
4000,58.6,0.050,1077833,0
4500,59.2,0.050,1223861,0
5000,57.8,0.050,1355999,0
5500,58.4,0.050,1490746,0
6000,57.2,0.050,1612653,0
6500,57.0,0.050,1727339,0
7000,60.8,0.050,1903450,0
7500,57.2,0.050,2033211,0
8000,57.2,0.050,2157609,0
8500,62.4,0.050,2349678,0
9000,60.6,0.050,2518138,0
9500,58.8,0.050,2662241,0
10000,59.4,0.050,2817125,0
