Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,53.4,0.050,68386,0
1000,58.2,0.050,201150,0
1500,58.6,0.050,343448,0
2000,54.8,0.050,431760,0
2500,60.0,0.050,593981,0
3000,56.4,0.050,706132,0
3500,57.4,0.050,828933,0
4000,59.8,0.050,982618,0
4500,57.6,0.050,1112540,0
5000,60.2,0.050,1276577,0
5500,56.0,0.050,1384642,0
6000,53.6,0.050,1462901,0
6500,57.2,0.050,1592390,0
7000,58.8,0.050,1739972,0
7500,53.4,0.050,1808153,0
8000,56.0,0.050,1913688,0
8500,61.4,0.050,2094633,0
9000,55.6,0.050,2197433,0
9500,57.0,0.050,2315471,0
10000,61.2,0.050,2491787,0
