Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,53.0,0.092,65896,0
1000,57.2,0.085,189482,0
1500,56.8,0.077,306879,0
2000,55.4,0.070,396723,0
2500,56.8,0.062,513564,0
3000,60.0,0.055,669902,0
3500,59.2,0.050,814298,0
4000,57.2,0.050,931218,0
4500,58.0,0.050,1057716,0
5000,56.8,0.050,1170905,0
5500,53.8,0.050,1254363,0
6000,57.6,0.050,1378567,0
6500,59.8,0.050,1532314,0
7000,54.8,0.050,1626624,0
7500,54.2,0.050,1707112,0
8000,59.0,0.050,1847147,0
8500,59.0,0.050,1989943,0
9000,62.8,0.050,2183780,0
9500,55.6,0.050,2284562,0
10000,59.2,0.050,2435487,0
