Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,49.4,0.292,15279,0
1000,47.0,0.285,8572,0
1500,48.2,0.277,12074,0
2000,52.8,0.270,66786,0
2500,49.6,0.262,85120,0
3000,46.4,0.255,75105,0
3500,45.6,0.247,35426,0
4000,48.8,0.240,39337,0
4500,49.0,0.232,48869,0
5000,49.2,0.225,54864,0
5500,53.8,0.217,140242,0
6000,48.4,0.210,143136,0
6500,47.6,0.202,130083,0
7000,49.4,0.195,137607,0
7500,45.6,0.187,103018,0
8000,52.8,0.180,170663,0
8500,53.8,0.172,239726,0
9000,47.4,0.165,230284,0
9500,51.0,0.157,266828,0
10000,51.0,0.150,307572,0
