Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,53.8,0.242,57972,0
1000,48.2,0.235,53058,0
1500,51.0,0.227,78147,0
2000,51.4,0.220,115170,0
2500,51.0,0.212,148655,0
3000,56.4,0.205,255479,0
3500,51.8,0.197,297645,0
4000,51.4,0.190,338586,0
4500,54.2,0.182,415150,0
5000,52.0,0.175,466950,0
5500,50.2,0.167,492422,0
6000,51.2,0.160,527747,0
6500,54.4,0.152,609249,0
7000,51.0,0.145,644114,0
7500,56.8,0.137,750406,0
8000,57.6,0.130,873676,0
8500,53.8,0.122,944247,0
9000,49.4,0.115,956763,0
9500,53.0,0.107,1017606,0
10000,56.0,0.100,1119366,0
