Batalhas,WinRate_Bloco,Epsilon,Reward,Ghost_Battles
500,57.6,0.050,126739,0
1000,59.2,0.050,270586,0
1500,57.2,0.050,385839,0
2000,57.6,0.050,516090,0
2500,56.0,0.050,629374,0
3000,59.0,0.050,778859,0
3500,61.8,0.050,961465,0
4000,59.4,0.050,1115253,0
4500,57.4,0.050,1242733,0
5000,56.8,0.050,1365663,0
5500,57.0,0.050,1487213,0
6000,59.6,0.050,1642863,0
6500,58.2,0.050,1783717,0
7000,56.0,0.050,1889647,0
7500,59.8,0.050,2038790,0
8000,60.6,0.050,2203829,0
8500,59.0,0.050,2351975,0
9000,61.0,0.050,2529961,0
9500,58.4,0.050,2671084,0
10000,60.4,0.050,2837200,0
