Batalhas,WinRate_Bloco,Epsilon,Avg_Reward_Bloco
200,21.0,0.04996170339735633,-185.0
400,20.5,0.04996170339735633,-192.5
600,20.5,0.04996170339735633,-192.5
800,22.0,0.04996170339735633,-170.0
1000,26.5,0.04996170339735633,-102.5
1200,18.0,0.04996170339735633,-230.0
1400,18.0,0.04996170339735633,-230.0
1600,23.0,0.04996170339735633,-155.0
1800,22.0,0.04996170339735633,-170.0
2000,20.5,0.04996170339735633,-192.5
2200,19.0,0.04996170339735633,-215.0
2400,20.5,0.04996170339735633,-192.5
2600,27.500000000000004,0.04996170339735633,-87.5
2800,20.5,0.04996170339735633,-192.5
3000,16.0,0.04996170339735633,-260.0
3200,24.5,0.04996170339735633,-132.5
3400,19.0,0.04996170339735633,-215.0
3600,25.5,0.04996170339735633,-117.5
3800,22.0,0.04996170339735633,-170.0
4000,20.0,0.04996170339735633,-200.0
4200,22.5,0.04996170339735633,-162.5
4400,17.0,0.04996170339735633,-245.0
4600,22.0,0.04996170339735633,-170.0
4800,17.0,0.04996170339735633,-245.0
5000,24.5,0.04996170339735633,-132.5
5200,27.500000000000004,0.04996170339735633,-87.5
5400,16.0,0.04996170339735633,-260.0
5600,28.000000000000004,0.04996170339735633,-80.0
5800,19.0,0.04996170339735633,-215.0
6000,16.5,0.04996170339735633,-252.5
6200,20.0,0.04996170339735633,-200.0
6400,26.0,0.04996170339735633,-110.0
6600,26.5,0.04996170339735633,-102.5
6800,24.0,0.04996170339735633,-140.0
7000,21.0,0.04996170339735633,-185.0
7200,25.5,0.04996170339735633,-117.5
7400,21.5,0.04996170339735633,-177.5
7600,20.5,0.04996170339735633,-192.5
7800,24.0,0.04996170339735633,-140.0
8000,20.5,0.04996170339735633,-192.5
8200,25.5,0.04996170339735633,-117.5
8400,19.0,0.04996170339735633,-215.0
8600,21.0,0.04996170339735633,-185.0
8800,17.0,0.04996170339735633,-245.0
9000,21.0,0.04996170339735633,-185.0
9200,26.5,0.04996170339735633,-102.5
9400,16.5,0.04996170339735633,-252.5
9600,22.0,0.04996170339735633,-170.0
9800,21.5,0.04996170339735633,-177.5
10000,17.0,0.04996170339735633,-245.0
