Batalhas,WinRate_Bloco,Epsilon,Avg_Reward_Bloco
200,22.0,0.04996170339735633,-170.0
400,23.5,0.04996170339735633,-147.5
600,23.0,0.04996170339735633,-155.0
800,24.0,0.04996170339735633,-140.0
1000,16.5,0.04996170339735633,-252.5
1200,24.0,0.04996170339735633,-140.0
1400,18.0,0.04996170339735633,-230.0
1600,18.0,0.04996170339735633,-230.0
1800,22.5,0.04996170339735633,-162.5
2000,25.0,0.04996170339735633,-125.0
2200,20.5,0.04996170339735633,-192.5
2400,22.5,0.04996170339735633,-162.5
2600,24.0,0.04996170339735633,-140.0
2800,29.5,0.04996170339735633,-57.5
3000,22.5,0.04996170339735633,-162.5
3200,20.5,0.04996170339735633,-192.5
3400,20.0,0.04996170339735633,-200.0
3600,19.0,0.04996170339735633,-215.0
3800,24.0,0.04996170339735633,-140.0
4000,21.5,0.04996170339735633,-177.5
4200,22.0,0.04996170339735633,-170.0
4400,25.5,0.04996170339735633,-117.5
4600,20.0,0.04996170339735633,-200.0
4800,31.0,0.04996170339735633,-35.0
5000,15.0,0.04996170339735633,-275.0
5200,20.5,0.04996170339735633,-192.5
5400,21.5,0.04996170339735633,-177.5
5600,20.0,0.04996170339735633,-200.0
5800,15.5,0.04996170339735633,-267.5
6000,21.5,0.04996170339735633,-177.5
6200,18.0,0.04996170339735633,-230.0
6400,21.0,0.04996170339735633,-185.0
6600,23.0,0.04996170339735633,-155.0
6800,20.0,0.04996170339735633,-200.0
7000,16.0,0.04996170339735633,-260.0
7200,18.0,0.04996170339735633,-230.0
7400,27.500000000000004,0.04996170339735633,-87.5
7600,22.5,0.04996170339735633,-162.5
7800,24.0,0.04996170339735633,-140.0
8000,21.5,0.04996170339735633,-177.5
8200,21.5,0.04996170339735633,-177.5
8400,17.0,0.04996170339735633,-245.0
8600,19.5,0.04996170339735633,-207.5
8800,22.5,0.04996170339735633,-162.5
9000,23.0,0.04996170339735633,-155.0
9200,23.5,0.04996170339735633,-147.5
9400,27.0,0.04996170339735633,-95.0
9600,21.5,0.04996170339735633,-177.5
9800,23.5,0.04996170339735633,-147.5
10000,18.5,0.04996170339735633,-222.5
