Batalhas,WinRate_Bloco,Epsilon,Reward
200,67.0,4.2855083853848614e-13,362040.0
400,74.0,3.408878892128932e-13,781750.0
600,69.0,2.7137400214278247e-13,1162270.0
800,68.5,2.1411045483464085e-13,1546860.0
1000,72.5,1.6753392921806482e-13,1956050.0
1200,70.5,1.319179209304738e-13,2353000.0
1400,69.0,1.0450909439847858e-13,2732170.0
1600,71.0,8.083561708358655e-14,3135270.0
1800,68.5,6.35522028276521e-14,3507760.0
2000,71.5,5.003414543194603e-14,3913260.0
2200,64.5,4.014107696821136e-14,4252970.0
2400,66.0,3.1300809328432313e-14,4609200.0
2600,67.0,2.4960343250043755e-14,4969360.0
2800,64.5,1.946138165448842e-14,5308910.0
3000,68.5,1.5252996605955516e-14,5687980.0
3200,72.0,1.1951058878697307e-14,6093420.0
3400,68.5,9.52113629937499e-15,6470810.0
3600,69.5,7.501164231860317e-15,6861640.0
3800,73.5,5.943822362056907e-15,7280840.0
4000,69.5,4.682801117521985e-15,7664230.0
4200,69.5,3.6676104677858516e-15,8051880.0
4400,71.5,2.8987640887711514e-15,8451230.0
4600,65.0,2.273517964432088e-15,8799240.0
4800,70.0,1.78384711383616e-15,9193730.0
5000,70.5,1.421790027545252e-15,9595870.0
5200,73.5,1.1135026084939426e-15,10019630.0
5400,71.0,8.809139707369667e-16,10416300.0
5600,68.5,6.999117260270257e-16,10793340.0
5800,75.0,5.483688372461501e-16,11234080.0
6000,70.0,4.3449841736402306e-16,11624770.0
6200,72.0,3.4310495730151627e-16,12030300.0
6400,70.5,2.7350796136468347e-16,12425030.0
6600,67.0,2.1243252593315093e-16,12787430.0
6800,68.0,1.673886669296221e-16,13162970.0
7000,70.5,1.3306167167238414e-16,13558590.0
7200,68.5,1.063629304945998e-16,13927720.0
7400,68.0,8.43733276374327e-17,14294180.0
7600,67.5,6.675608627060812e-17,14660140.0
7800,68.5,5.150294487077053e-17,15036400.0
8000,70.0,4.107227543691127e-17,15425290.0
8200,67.0,3.2158513262720974e-17,15790560.0
8400,71.5,2.5557261147332206e-17,16203070.0
8600,71.0,2.0169378753282802e-17,16596070.0
8800,67.5,1.5929291558343697e-17,16965960.0
9000,69.0,1.2576169854237781e-17,17346030.0
9200,72.0,9.999629180693191e-18,17760210.0
9400,68.5,7.93665763555964e-18,18136980.0
9600,76.0,6.137919301308069e-18,18584770.0
9800,66.5,4.792391816885035e-18,18943330.0
10000,66.5,3.808075237845032e-18,19301600.0
