Batalhas,WinRate_Bloco,Epsilon,Reward
200,66.0,0.007884739256279314,357860.0
400,70.5,0.006189306834008548,751300.0
600,67.5,0.004896728075567757,1118400.0
800,72.5,0.003883595684127023,1531730.0
1000,70.5,0.0030740797963727013,1928100.0
1200,67.5,0.002403916916511224,2297600.0
1400,68.0,0.0018907875830045352,2668990.0
1600,69.5,0.0014980101060172077,3058650.0
1800,71.5,0.0011908673354652775,3470050.0
2000,70.0,0.0009415536229273148,3861520.0
2200,70.0,0.0007330215068376164,4252060.0
2400,76.5,0.0005724748830663737,4707720.0
2600,68.5,0.0004565796693370653,5088120.0
2800,73.5,0.00036072190509185497,5509130.0
3000,71.0,0.000284747095688286,5909030.0
3200,72.0,0.00022556211545320167,6326170.0
3400,70.0,0.0001755965997421074,6716210.0
3600,68.5,0.00013870278700904492,7090920.0
3800,66.0,0.00010964277083309256,7450010.0
4000,73.5,8.632088420761251e-05,7876980.0
4200,71.0,6.695797702657255e-05,8279610.0
4400,65.0,5.232943645944625e-05,8626390.0
4600,74.5,4.143820234915341e-05,9060810.0
4800,75.0,3.268764857751642e-05,9507630.0
5000,71.5,2.525415854449889e-05,9914570.0
5200,64.0,1.971312473838545e-05,10250060.0
5400,75.5,1.5663433123145363e-05,10691600.0
5600,71.5,1.2291068174180261e-05,11101290.0
5800,70.5,9.925105822312383e-06,11495280.0
6000,61.5,7.752080903548163e-06,11808000.0
6200,69.0,6.162641956044065e-06,12191050.0
6400,68.5,4.83363852498171e-06,12571140.0
6600,73.0,3.817300893200636e-06,12984620.0
6800,70.5,3.042373379411469e-06,13385920.0
7000,70.5,2.3963145669928416e-06,13784070.0
7200,68.5,1.872221679955932e-06,14153330.0
7400,69.5,1.4820406373760886e-06,14544710.0
7600,63.0,1.181239458412278e-06,14872210.0
7800,71.5,9.366538164559435e-07,15283390.0
8000,71.5,7.429345572641831e-07,15685600.0
8200,70.5,5.836210748690109e-07,16074600.0
8400,70.0,4.593883560255477e-07,16468410.0
8600,71.5,3.6611235601778553e-07,16870200.0
8800,66.0,2.8391755975970375e-07,17221190.0
9000,70.0,2.26892947266234e-07,17614540.0
9200,71.5,1.7912294221534654e-07,18019290.0
9400,67.0,1.4248926704795733e-07,18379760.0
9600,73.0,1.1317224146615307e-07,18803440.0
9800,73.5,8.942095315220557e-08,19226640.0
10000,73.5,7.138226130228432e-08,19648200.0
