Batalhas,WinRate_Bloco,Epsilon,Reward
500,24.0,0.0,-1458600.0
1000,30.2,0.0,-2676200.0
1500,35.6,0.0,-3681600.0
2000,42.6,0.0,-4434200.0
2500,40.8,0.0,-5244000.0
3000,45.2,0.0,-5883200.0
3500,43.6,0.0,-6589800.0
4000,45.6,0.0,-7225400.0
4500,54.0,0.0,-7564000.0
5000,47.8,0.0,-8127800.0
5500,53.6,0.0,-8468400.0
6000,57.4,0.0,-8680800.0
6500,52.0,0.0,-9063600.0
7000,55.00000000000001,0.0,-9363600.0
7500,53.6,0.0,-9698200.0
8000,54.800000000000004,0.0,-9994000.0
8500,51.6,0.0,-10402400.0
9000,55.60000000000001,0.0,-10687400.0
9500,51.4,0.0,-11108000.0
10000,54.2,0.0,-11421800.0
10500,55.400000000000006,0.0,-11693400.0
11000,56.00000000000001,0.0,-11938800.0
11500,55.60000000000001,0.0,-12203200.0
12000,55.60000000000001,0.0,-12469200.0
12500,55.2,0.0,-12752000.0
13000,58.599999999999994,0.0,-12919600.0
13500,51.4,0.0,-13328000.0
14000,56.2,0.0,-13562200.0
14500,52.0,0.0,-13956000.0
15000,56.39999999999999,0.0,-14189800.0
15500,55.00000000000001,0.0,-14467000.0
16000,57.199999999999996,0.0,-14674800.0
16500,52.800000000000004,0.0,-15033000.0
17000,56.39999999999999,0.0,-15267600.0
17500,53.2,0.0,-15612400.0
18000,52.800000000000004,0.0,-15967200.0
18500,55.00000000000001,0.0,-16249200.0
19000,54.400000000000006,0.0,-16553000.0
19500,57.599999999999994,0.0,-16730600.0
20000,51.6,0.0,-17149000.0
