Batalhas,WinRate_Bloco,Epsilon,Reward
500,25.2,0.0,-1410400.0
1000,36.6,0.0,-2388000.0
1500,43.6,0.0,-3112600.0
2000,42.8,0.0,-3861800.0
2500,42.199999999999996,0.0,-4617600.0
3000,46.6,0.0,-5229600.0
3500,50.6,0.0,-5684600.0
4000,50.0,0.0,-6165400.0
4500,53.0,0.0,-6536000.0
5000,53.0,0.0,-6903400.0
5500,53.0,0.0,-7271000.0
6000,50.6,0.0,-7719000.0
6500,51.4,0.0,-8138800.0
7000,51.800000000000004,0.0,-8536400.0
7500,51.2,0.0,-8973800.0
8000,51.800000000000004,0.0,-9373000.0
8500,52.0,0.0,-9771200.0
9000,53.400000000000006,0.0,-10124400.0
9500,52.0,0.0,-10526800.0
10000,56.39999999999999,0.0,-10764400.0
10500,61.199999999999996,0.0,-10828400.0
11000,50.8,0.0,-11267000.0
11500,53.0,0.0,-11617400.0
12000,54.400000000000006,0.0,-11925400.0
12500,55.800000000000004,0.0,-12177200.0
13000,56.599999999999994,0.0,-12407200.0
13500,56.599999999999994,0.0,-12639400.0
14000,56.39999999999999,0.0,-12869200.0
14500,56.8,0.0,-13087600.0
15000,54.800000000000004,0.0,-13372400.0
15500,56.2,0.0,-13614600.0
16000,57.99999999999999,0.0,-13785800.0
16500,56.2,0.0,-14030000.0
17000,55.400000000000006,0.0,-14300200.0
17500,55.2,0.0,-14568000.0
18000,56.8,0.0,-14781200.0
18500,58.599999999999994,0.0,-14919400.0
19000,55.60000000000001,0.0,-15171400.0
19500,55.400000000000006,0.0,-15442600.0
