Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,74.0,0.399,1304800,0,1.91,17.6,6624
1000,72.6,0.397,2537700,0,2.34,22.2,11082
1500,68.4,0.395,3542600,0,2.70,24.7,14521
2000,70.8,0.393,4668300,0,3.00,26.5,17578
2500,69.2,0.390,5722500,0,3.27,28.0,20170
3000,68.4,0.386,6727100,0,3.54,29.5,22451
3500,67.0,0.383,7650800,0,3.80,30.7,24483
4000,70.6,0.379,8762600,0,4.03,31.5,26440
4500,72.0,0.375,9962300,0,4.23,32.2,28370
5000,68.8,0.371,10984900,0,4.43,33.0,30117
5500,67.4,0.366,11931700,0,4.63,33.8,31759
6000,68.4,0.360,12933800,0,4.85,34.5,33063
6500,68.4,0.355,13941200,0,5.04,35.0,34539
7000,67.2,0.350,14874900,0,5.21,35.5,35905
7500,69.8,0.344,15951800,0,5.40,36.1,37148
8000,68.0,0.337,16929500,0,5.57,36.5,38344
8500,69.0,0.331,17965400,0,5.75,36.9,39488
9000,67.4,0.325,18920700,0,5.91,37.2,40682
9500,70.6,0.317,20033300,0,6.08,37.7,41715
10000,67.0,0.310,20957800,0,6.26,38.0,42802
