Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,45.6,0.239,-178300,0,19.50,45.3,450334
1000,54.8,0.237,112900,0,19.49,45.2,451649
1500,48.4,0.234,89900,0,19.48,45.2,452796
2000,46.6,0.232,-77900,0,19.47,45.2,453941
2500,49.8,0.229,-53800,0,19.45,45.2,455083
3000,44.0,0.226,-338700,0,19.44,45.2,456223
3500,46.6,0.223,-499200,0,19.44,45.2,457226
4000,50.2,0.221,-454200,0,19.42,45.1,458525
4500,47.8,0.218,-518000,0,19.41,45.1,459593
5000,52.8,0.215,-337800,0,19.41,45.1,460492
5500,48.4,0.212,-381000,0,19.41,45.1,461548
6000,51.8,0.209,-262600,0,19.40,45.1,462618
6500,51.4,0.206,-160400,0,19.40,45.1,463516
7000,48.2,0.203,-184600,0,19.39,45.1,464647
7500,48.6,0.200,-233300,0,19.38,45.1,465654
