Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,51.2,0.030,135800,0,16.93,44.0,371484
1000,44.0,0.030,-93200,0,16.95,44.0,371986
1500,51.0,0.030,40700,0,16.98,44.1,372340
2000,46.6,0.030,-73700,0,17.01,44.1,372704
2500,49.6,0.030,-9300,0,17.04,44.1,373055
3000,51.6,0.030,129400,0,17.07,44.1,373385
3500,50.8,0.030,247200,0,17.10,44.2,373758
4000,47.8,0.030,177900,0,17.13,44.2,374150
4500,50.6,0.030,265300,0,17.16,44.2,374612
5000,47.0,0.030,171100,0,17.19,44.2,375017
5500,53.2,0.030,414300,0,17.21,44.2,375415
6000,47.2,0.030,324200,0,17.23,44.2,375846
6500,53.0,0.030,516600,0,17.26,44.3,376247
7000,50.4,0.030,595700,0,17.29,44.3,376660
7500,47.0,0.030,508800,0,17.31,44.3,377077
8000,47.4,0.030,429800,0,17.34,44.3,377466
8500,47.8,0.030,380900,0,17.36,44.4,377909
9000,45.8,0.030,210900,0,17.39,44.4,378330
9500,49.2,0.030,259500,0,17.41,44.4,378738
10000,49.8,0.030,325400,0,17.44,44.4,379134
