Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,48.8,0.134,-1900,0,12.73,39.9,281961
1000,50.8,0.130,117500,0,12.75,40.0,282895
1500,46.8,0.127,9800,0,12.77,40.0,283688
2000,53.6,0.123,265500,0,12.79,40.0,284508
2500,48.4,0.120,252600,0,12.81,40.1,285384
3000,50.4,0.116,308900,0,12.83,40.1,286327
3500,47.8,0.113,226300,0,12.85,40.1,287195
4000,47.0,0.109,108700,0,12.87,40.1,288024
4500,46.4,0.106,-13600,0,12.89,40.2,288919
5000,46.8,0.102,-115200,0,12.91,40.2,289725
5500,50.0,0.099,-56500,0,12.94,40.3,290521
6000,45.0,0.095,-292000,0,12.96,40.3,291283
6500,52.0,0.090,-126400,0,12.98,40.3,291989
7000,47.8,0.086,-184900,0,13.00,40.4,292752
7500,46.8,0.083,-276200,0,13.02,40.4,293640
8000,50.0,0.079,-229300,0,13.04,40.4,294353
8500,44.8,0.075,-428400,0,13.06,40.4,295154
9000,44.0,0.071,-692300,0,13.09,40.5,295849
9500,45.8,0.066,-856500,0,13.11,40.5,296497
10000,48.0,0.062,-869800,0,13.13,40.5,297261
