Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,47.8,0.307,-63200,0,11.98,38.2,218282
1000,48.2,0.305,-87200,0,11.97,38.2,219769
1500,45.4,0.303,-274400,0,11.97,38.3,221199
2000,49.6,0.301,-231900,0,11.98,38.3,222390
2500,47.6,0.298,-326100,0,11.98,38.3,223634
3000,47.4,0.296,-414500,0,11.99,38.3,224902
3500,49.8,0.294,-369100,0,11.99,38.3,226278
4000,50.8,0.291,-252700,0,12.00,38.4,227558
4500,50.2,0.289,-193800,0,12.00,38.4,228800
5000,48.8,0.286,-208600,0,12.01,38.4,229950
5500,47.0,0.284,-331600,0,12.01,38.4,231271
6000,49.6,0.282,-295000,0,12.02,38.4,232535
6500,52.6,0.279,-105900,0,12.02,38.5,233768
7000,51.4,0.277,52700,0,12.04,38.5,234956
7500,50.6,0.274,142700,0,12.04,38.5,236245
8000,50.0,0.272,176500,0,12.05,38.6,237388
8500,51.4,0.269,312500,0,12.06,38.6,238492
9000,48.6,0.266,287000,0,12.07,38.6,239622
9500,49.4,0.264,310300,0,12.09,38.7,240829
10000,50.6,0.261,369000,0,12.10,38.7,241815
