Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,46.8,0.030,-78500,0,14.24,41.7,323817
1000,49.6,0.030,-11500,0,14.26,41.8,324397
1500,48.6,0.030,-20900,0,14.29,41.8,324940
2000,52.6,0.030,182100,0,14.32,41.8,325521
2500,47.4,0.030,105700,0,14.35,41.9,326096
3000,45.2,0.030,-74400,0,14.37,41.9,326695
3500,53.6,0.030,195300,0,14.40,41.9,327239
4000,48.4,0.030,198100,0,14.43,41.9,327800
4500,46.2,0.030,65500,0,14.46,42.0,328341
5000,48.2,0.030,44500,0,14.48,42.0,328923
5500,51.6,0.030,210200,0,14.51,42.0,329451
6000,49.0,0.030,219700,0,14.54,42.0,330000
6500,47.6,0.030,157600,0,14.56,42.1,330557
7000,48.6,0.030,143400,0,14.59,42.1,331050
7500,46.8,0.030,16500,0,14.61,42.1,331518
8000,51.0,0.030,135700,0,14.64,42.2,331969
8500,49.2,0.030,162100,0,14.67,42.2,332506
9000,47.6,0.030,107600,0,14.70,42.2,333036
9500,50.4,0.030,186300,0,14.73,42.3,333542
10000,50.4,0.030,272400,0,14.76,42.3,334040
