Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,45.8,0.200,-165200,0,12.39,39.3,263563
1000,51.4,0.196,-28700,0,12.40,39.3,264523
1500,49.4,0.193,11800,0,12.41,39.4,265537
2000,48.8,0.190,-5800,0,12.43,39.4,266427
2500,45.8,0.187,-185300,0,12.45,39.4,267384
3000,50.4,0.184,-95100,0,12.46,39.4,268412
3500,45.8,0.181,-272800,0,12.48,39.5,269270
4000,51.2,0.178,-164800,0,12.49,39.5,270353
4500,51.8,0.175,-12500,0,12.50,39.5,271354
5000,50.0,0.172,51500,0,12.52,39.5,272353
5500,50.0,0.168,94000,0,12.54,39.6,273240
6000,51.8,0.165,227800,0,12.56,39.6,274044
6500,47.6,0.162,134300,0,12.58,39.7,275030
7000,45.6,0.159,400,0,12.59,39.7,276003
7500,49.6,0.155,47100,0,12.61,39.7,276787
8000,48.6,0.151,16400,0,12.62,39.7,277676
8500,47.0,0.148,-85300,0,12.64,39.8,278575
9000,51.8,0.144,86800,0,12.67,39.8,279409
9500,49.4,0.141,120900,0,12.70,39.9,280283
10000,46.4,0.138,10500,0,12.71,39.9,281228
