Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,66.2,0.303,881100,0,6.43,38.3,43768
1000,66.8,0.295,1803300,0,6.60,38.6,44754
1500,67.0,0.287,2737900,0,6.76,38.9,45643
2000,63.2,0.279,3458600,0,6.91,39.3,46672
2500,65.4,0.271,4303000,0,7.06,39.6,47555
3000,64.6,0.263,5112300,0,7.21,39.8,48471
3500,64.8,0.254,5929500,0,7.37,40.1,49354
4000,65.4,0.245,6772900,0,7.51,40.4,50177
4500,62.4,0.236,7461000,0,7.67,40.6,50990
5000,63.8,0.227,8198000,0,7.80,40.8,51816
5500,64.6,0.218,8993600,0,7.94,41.0,52653
6000,63.2,0.208,9727900,0,8.08,41.1,53456
6500,64.4,0.197,10522100,0,8.23,41.4,54138
7000,67.2,0.186,11461300,0,8.37,41.6,54800
7500,67.2,0.174,12397900,0,8.51,41.7,55425
8000,65.6,0.163,13251400,0,8.65,42.0,56110
8500,66.6,0.152,14162300,0,8.79,42.1,56752
9000,67.6,0.138,15122100,0,8.94,42.4,57311
9500,67.8,0.125,16099600,0,9.08,42.6,57902
10000,63.4,0.112,16847100,0,9.22,42.8,58477
