Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,52.4,0.030,224800,0,17.46,44.4,379507
1000,50.6,0.030,325900,0,17.49,44.4,379903
1500,52.0,0.030,496900,0,17.52,44.4,380266
2000,51.2,0.030,652700,0,17.56,44.5,380594
2500,50.6,0.030,782600,0,17.58,44.5,380884
3000,52.0,0.030,931900,0,17.61,44.5,381150
3500,52.2,0.030,1087600,0,17.64,44.5,381487
4000,51.8,0.030,1250200,0,17.67,44.5,381865
4500,56.2,0.030,1657700,0,17.70,44.6,382275
5000,52.6,0.030,1867200,0,17.72,44.6,382579
5500,51.6,0.030,2008400,0,17.75,44.6,382943
6000,49.0,0.030,2026900,0,17.78,44.6,383328
6500,47.8,0.030,2012900,0,17.80,44.7,383730
7000,52.6,0.030,2221600,0,17.83,44.7,384150
7500,52.4,0.030,2425400,0,17.85,44.7,384502
8000,53.6,0.030,2660200,0,17.88,44.7,384947
8500,52.0,0.030,2825000,0,17.90,44.7,385350
9000,49.2,0.030,2851300,0,17.92,44.7,385734
9500,49.8,0.030,2928500,0,17.95,44.8,386136
10000,52.6,0.030,3132400,0,17.98,44.8,386544
