Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,51.2,0.030,144500,0,15.87,43.2,354220
1000,48.8,0.030,167600,0,15.90,43.2,354663
1500,47.6,0.030,112800,0,15.93,43.3,355157
2000,54.4,0.030,397200,0,15.96,43.3,355590
2500,53.0,0.030,618800,0,15.98,43.3,356088
3000,52.0,0.030,812200,0,16.01,43.3,356509
3500,50.8,0.030,911300,0,16.04,43.4,356938
4000,51.0,0.030,1091800,0,16.07,43.4,357412
4500,49.8,0.030,1192400,0,16.09,43.4,357856
5000,52.6,0.030,1396400,0,16.12,43.4,358275
5500,51.6,0.030,1565800,0,16.16,43.4,358684
6000,49.6,0.030,1618900,0,16.18,43.4,359179
6500,49.2,0.030,1622400,0,16.21,43.5,359623
7000,52.0,0.030,1796500,0,16.24,43.5,360089
7500,49.0,0.030,1805400,0,16.26,43.5,360564
8000,49.2,0.030,1819300,0,16.30,43.5,360943
8500,47.0,0.030,1746000,0,16.32,43.6,361417
9000,53.4,0.030,1978400,0,16.34,43.6,361822
9500,51.0,0.030,2100600,0,16.36,43.6,362388
10000,47.2,0.030,2007100,0,16.39,43.6,362841
