Batalhas,WinRate_Bloco,Estados_Q,Epsilon,Visitas_Est,Confianca,Reward,Ghost_Battles
500,66.0,0.050,875300,0,14.50,48.0,75701
1000,65.6,0.050,1727600,0,14.61,48.2,76015
1500,62.2,0.050,2408100,0,14.74,48.3,76275
2000,66.8,0.050,3331000,0,14.86,48.4,76543
2500,62.4,0.050,4018100,0,14.99,48.5,76849
3000,63.6,0.050,4760600,0,15.10,48.6,77188
3500,66.4,0.050,5655100,0,15.21,48.6,77518
4000,63.4,0.050,6400700,0,15.33,48.7,77796
4500,68.0,0.050,7378500,0,15.45,48.8,78103
5000,64.4,0.050,8172100,0,15.57,48.9,78374
5500,66.0,0.050,9049800,0,15.67,48.9,78690
6000,64.4,0.050,9841600,0,15.79,49.0,78951
6500,67.0,0.050,10774700,0,15.91,49.0,79234
7000,66.2,0.050,11666500,0,16.02,49.1,79520
7500,64.2,0.050,12451500,0,16.13,49.1,79836
8000,65.4,0.050,13302500,0,16.24,49.2,80106
8500,63.0,0.050,14018000,0,16.36,49.3,80394
9000,65.4,0.050,14867900,0,16.47,49.3,80656
9500,72.8,0.050,16102600,0,16.58,49.4,80938
10000,65.8,0.050,16966700,0,16.69,49.4,81225
